name,startByte,endByte,startNibble,endNibble,format,description
receiverLineNumber,1,3,1,6,sbin,Receiver line number
receiverPointNumber,4,6,7,12,sbin,Receiver point number
receiverPointIndex,7,7,13,14,sbin,Receiver point index
numberOfSamplesPerTrace,8,10,15,20,ubin,Number of samples per trace
extendedReceiverLineNumberInteger,11,13,21,26,sbin,Extended receiver line number integer
extendedReceiverLineNumberFraction,14,15,27,30,fraction,Extended receiver line number fraction
extendedReceiverPointNumberInteger,16,18,31,36,sbin,Extended receiver point number integer
extendedReceiverPointNumberFraction,19,20,37,40,fraction,Extended receiver point number fraction
sensorType,21,21,41,42,ubin,Sensor Type (6 = vertical accelerometer)
extendedTraceNumber,22,24,43,48,ubin,Extended trace number if trace number in demux trace header set to FF
numSamplesPerTrace,25,28,49,56,ubin,Number of samples in this trace
sensorMoving,29,29,57,58,ubin,1 if sensor is moving during the record or 0 if it is stationary
undefined,30,30,59,60,ubin,Can take any value
physicalUnit,31,31,61,62,ubin,Physical unit measured by this sensor (see documentation)
headerBlockType,32,32,63,64,ubin,Should be 40 for trace header extension #1
