name,startByte,endByte,startNibble,endNibble,format,description
expandedFileNumber,1,3,1,6,ubin,Extended file number. (Bytes 1 and 2 of GHB1 must be set to FFFF for ffids greater than 9999)
extendedChannelSetsPerScanType,4,5,7,10,ubin,Extended channel sets/scan types. (Byte 29 of GHB1 must be set to FF for numbers greater than 99)
extendedHeaderBlocks,6,8,11,16,ubin,Extended header blocks (Byte 31 of GHB1 must be set to FF if using more than 99 extended header blocks)
extendedSkewBlocks,9,10,17,20,ubin,Extended skew blocks (Number of 32 byte fields added to end of each scan type header. Zero indicates no skew.)
majorSEGDrevisionNumber,11,11,21,22,ubin,Major SEG-D revision number
minorSEGDrevisionNumber,12,12,23,24,ubin,Minor SEG-D revision number
generalTrailerBlocks,13,16,25,32,ubin,Number of 32-byte General Trailer blocks
extendedRecordLength,17,20,33,40,ubin,Record length in microseconds.
recordSetNumber,21,22,41,44,ubin,Record set number used to identify this group of records
extendedGeneralHeaderBlocks,23,24,45,48,ubin,Number of additional Blocks in Gen Header. If 2, only GHB1-GHB3 are present.
dominantSamplingInterval,25,27,49,54,ubin,Dominant sampling interval in microseconds (1e-6 sec)
externalHeaderBlocks,28,30,55,60,ubin,External header blocks (when GHB1 byte 32 is FF).
unused,31,31,61,62,ubin,May have any value.
headerBlockType,32,32,63,64,ubin,Must be set to 2 for GHB2
