name,startByte,endByte,startNibble,endNibble,format,description
scanTypeNumber,1,1,1,2,bcd,"Scan type number (1-99); see scanTypesPerRecord, byte 28, general header block 1 "
channelSetNumber,2,3,3,6,ubin,"Channel set number (1-99).; See channelSetsPerScanType,  byte 29, general header block 1"
channelType,4,4,7,8,hex,Channel type identification (hex codes) - see documentation
channelSetStartTime,5,8,9,16,sbin,Channel set start time.
channelSetEndTime,9,12,17,24,sbin,Channel set end time.
samplesPerChannel,13,16,25,32,ubin,Number of samples ine ach trace of this channel set.
descaleMultiplier,17,20,33,40,ieee,Multiplier is used to descale the data to obtain input voltage in millivolts
numberOfChannelsThisSet,21,23,41,46,ubin,Number of channels in this channel set
samplingInterval,24,26,47,52,ubin,Sampling interval in microseconds.
arrayFormatting,27,27,53,54,hex,Array formatting code. See documentation.
numberTraceHeaderExtensions,28,28,55,56,ubin,Number of trace header extensions. Must match byte 10 of Demux Trace Header.
extendedHeaderFlag,29,29,57,57,ubin,Set to 1 to indicate that extended header contains additional information on channel set.
channelGainControl,29,29,58,58,ubin,Channel gain control method - see documentation for code values.
verticalStack,30,30,59,60,ubin,Effective stack order. Set to one if no stack.
streamerNumber,31,31,61,62,ubin,Streamer cable number (required for streamer data only)
headerBlockType,32,32,63,64,ubin,Header block type. Set to 30 (hex) / 48 (decimal) for Channel Set Descriptor Block 1.
aliasFilterFrequency,33,36,65,72,ieee,Alias filter frequency in Hz
lowCutFilterFrequency,37,40,73,80,ieee,Low-cut filter setting in Hz
aliasFilterSlope,41,44,81,88,ieee,Alias filter slope in dB per octave. Zero indicates filter is out.
lowCutFilterSlope,45,48,89,96,ieee,Low-cut filter slope. Zero indicates filter is out.
notchFrequency,49,52,97,104,ieee,Notch frequency setting. The out filter is written as 0.0 Hz.
secondNotchFrequency,53,56,105,112,ieee,Second notch frequency.
thirdNotchFrequency,57,60,113,120,ieee,Third notch frequency.
filterPhase,61,61,121,122,ubin,Filter phase - see documentation for code meanings.
physicalUnit,62,62,123,124,ubin,Physical unit measured by this sensor - see documentation for code meanings.
headerBlockType2,64,64,127,128,ubin,Header block type. Set to 31 (hex) / 49 (decimal) for Channel Set Descriptor Block 2.
filterDelay,65,68,129,136,ubin,Signal delay introduced by the filter in microseconds
description,69,95,137,190,ascii,Channel set description (free-text).
headerBlockType3,96,96,191,192,ubin,Header block type. Set to 32 (hex) / 50 (decimal) for Channel Set Descriptor Block 3.
